	WT	WT	WT	"aRFP control"	"aRFP control"	"aRFP control"	ispD	ispD	ispD	ispG	ispG	ispG
17.5	1.5975	1.6035	1.6175	1.5235	1.6675	1.4515	1.5735	1.6395	1.6175	1.6425	1.6195	1.5585
17.66667	1.5905	1.5975	1.6165	1.5095	1.6715	1.4395	1.5685	1.6385	1.6095	1.6415	1.6175	1.5555
17.83333	1.5875	1.5965	1.6115	1.4975	1.6675	1.4315	1.5645	1.6355	1.6015	1.6425	1.6175	1.5515
18	1.5805	1.5925	1.6055	1.4855	1.6635	1.4245	1.5635	1.6265	1.6045	1.6435	1.6165	1.5515
18.16667	1.5735	1.5845	1.6025	1.4805	1.6595	1.4145	1.5555	1.6225	1.5935	1.6465	1.6145	1.5485
18.33333	1.5695	1.5805	1.6005	1.4675	1.6615	1.4025	1.5505	1.6155	1.5875	1.6475	1.6105	1.5465
18.5	1.5625	1.5755	1.5915	1.4615	1.6605	1.3915	1.5475	1.6125	1.5835	1.6465	1.6085	1.5435
18.66667	1.5605	1.5705	1.5865	1.4565	1.6535	1.3855	1.5395	1.6145	1.5725	1.6475	1.6045	1.5435
18.83333	1.5555	1.5665	1.5815	1.4415	1.6535	1.3815	1.5335	1.6045	1.5715	1.6515	1.5995	1.5425
19	1.5515	1.5625	1.5775	1.4345	1.6505	1.3745	1.5305	1.5975	1.5715	1.6545	1.5975	1.5405
